dataset,seed,mae,r2,pearson
EntranceExam,17,0.6556403846858733,0.3586347020662862,0.6140876498312162
EntranceExam,18,0.5821699850954547,0.4700350839312019,0.6856688131414925
EntranceExam,19,0.613504587471822,0.4015695284179709,0.6399531622187108
EntranceExam,20,0.6019462659009307,0.4621023107221832,0.6807559748826757
EntranceExam,21,0.6039888077158841,0.4124787438975436,0.6517393453593089
EntranceExam,22,0.5488676904377925,0.5316551715000333,0.729863435649826
EntranceExam,23,0.619765897459461,0.4054269777616436,0.6404902714621289
EntranceExam,24,0.6689501070729125,0.2902972810458213,0.5732688419209393
EntranceExam,25,0.6397929669886047,0.390789542500046,0.6491284505322299
EntranceExam,26,0.6103077636419698,0.4305333505769988,0.657614708376701
EntranceExam,27,0.5977520991430686,0.4090176421500725,0.6476739829604979
EntranceExam,28,0.6540850658589776,0.4149558080338645,0.6549157406220448
EntranceExam,29,0.5672796634774829,0.4773091491862918,0.7068007962529753
EntranceExam,30,0.5748197046140816,0.5178735807929358,0.7206465918462827
EntranceExam,31,0.6021606108827918,0.4462144164540346,0.6712880109126731
EntranceExam,32,0.6054262328437856,0.46688303110311,0.6911825255789151
EntranceExam,33,0.6093269065860435,0.4712403887835107,0.688331311151702
EntranceExam,34,0.5712685111592601,0.4910731683448662,0.7057481920434358
EntranceExam,35,0.567392191894478,0.3978353049489368,0.6535148855250505
EntranceExam,36,0.6393803981440087,0.3465692480319875,0.6019962080279201
EntranceExam,37,0.6031725266964741,0.5313460394285854,0.7304387164088035
EntranceExam,38,0.5688706713350656,0.4460397257839127,0.6875688930560334
EntranceExam,39,0.5662582569546785,0.5188356612145554,0.7213959252915425
EntranceExam,40,0.62124085735363,0.3723340558678479,0.6212109600397835
EntranceExam,41,0.5991246735853885,0.4882425436713502,0.7019407192063449
EntranceExam,42,0.5977087073211336,0.4541267453927867,0.677363126863453
EntranceExam,43,0.5868671898529874,0.5240150345347085,0.7274548906129514
EntranceExam,44,0.5884724336969614,0.4678644043916617,0.6848841018108116
EntranceExam,45,0.6090017850161751,0.333033475010414,0.5888795796753953
EntranceExam,46,0.6292400828804061,0.4004830157554345,0.6415391525269624
EntranceExam,47,0.65108502908283,0.3534097224162614,0.612263537429838
EntranceExam,48,0.5971016553957085,0.4842400606683945,0.7021637941554157
EntranceExam,49,0.5934290073140155,0.4198272516406039,0.6506055433977947
EntranceExam,50,0.6080008796150238,0.4394336921225794,0.6785273069713227
EntranceExam,51,0.6556407574024559,0.3623775044987188,0.6115942509620094
EntranceExam,52,0.5725052977699133,0.4498123970989295,0.6732117075776668
EntranceExam,53,0.5539167687956859,0.5176528084532499,0.7196729416975951
EntranceExam,54,0.5859926508607983,0.3833916439428435,0.6362539661873251
EntranceExam,55,0.5899214655061064,0.4576702588842454,0.6841029740498885
EntranceExam,56,0.5916045130694838,0.4742327697378568,0.6890089952069564
EntranceExam,57,0.5973451832464519,0.4798483072597062,0.6944882895031516
EntranceExam,58,0.60597579700645,0.4151796840506231,0.6569615157073037
EntranceExam,59,0.5749017199117,0.4697208946173431,0.6950192145075481
EntranceExam,60,0.6269211961797394,0.4924987748614265,0.7056895921949198
EntranceExam,61,0.5631322468430755,0.5349553671965352,0.7499620957204033
EntranceExam,62,0.5797036824519644,0.420178313809035,0.6512132055113453
EntranceExam,63,0.5868791918744207,0.4358842351728424,0.6623776697552277
EntranceExam,64,0.5477350753727402,0.4092332406945073,0.6799539333052668
EntranceExam,65,0.6378733432512103,0.3230761319125889,0.6036076468881804
EntranceExam,66,0.6214972682094817,0.4058837834786852,0.6547573874207336
EntranceExam,67,0.6289141885065259,0.3414064480466974,0.6064951358415489
EntranceExam,68,0.5832065887164538,0.4764975280962183,0.692028498501063
EntranceExam,69,0.580449952519496,0.4714564338019591,0.6947644807744643
EntranceExam,70,0.5924207202069754,0.4097333708554573,0.6469360704201079
EntranceExam,71,0.6162159008801978,0.4256343920932446,0.6542482333113562
EntranceExam,72,0.566177659168496,0.3869040623865378,0.6442815680977275
EntranceExam,73,0.5702343935683282,0.4807678948655554,0.6959926929004949
EntranceExam,74,0.5710557223021966,0.4748001466165125,0.6950134676897467
EntranceExam,75,0.5354683873211717,0.529755467138344,0.7286535032629777
EntranceExam,76,0.620830990565661,0.3703795522742646,0.6193253550081861
EntranceExam,77,0.6022420768915974,0.3819990597740696,0.6440906748715407
EntranceExam,78,0.5809602108238844,0.5338368552685986,0.7361395587361592
EntranceExam,79,0.55583231500203,0.5323316707947222,0.7323921584293203
EntranceExam,80,0.6360947426116523,0.3115486202353804,0.5978648098945025
EntranceExam,81,0.5636446431862029,0.4911544127055952,0.710883199805796
EntranceExam,82,0.5971958723460786,0.4144837999017258,0.6493365944888283
EntranceExam,83,0.6814191545296489,0.261121193884546,0.5421687753014421
EntranceExam,84,0.6036382244654447,0.4220348248116388,0.6518754394383868
EntranceExam,85,0.594441662241995,0.4135842833979399,0.65147255858395
EntranceExam,86,0.6340403204052069,0.4521582221891107,0.6799632419822257
EntranceExam,87,0.6679382952097122,0.3152467033635723,0.6039540569154239
EntranceExam,88,0.6823069398681864,0.3276119125078253,0.5765338463222187
EntranceExam,89,0.5402968476039823,0.5024679261512317,0.7257985658002573
EntranceExam,90,0.5369032691315937,0.4852183609229233,0.7054622963743262
EntranceExam,91,0.599583481275799,0.4260201222074945,0.6618481599274999
EntranceExam,92,0.6504640368316771,0.3295687778205047,0.5974680322213881
EntranceExam,93,0.6161592191950407,0.4239878311167446,0.655944025289214
EntranceExam,94,0.6078481804802128,0.4569485078899431,0.6811284943081849
EntranceExam,95,0.5566179895372505,0.5193546800955617,0.7236655878082776
EntranceExam,96,0.5686994727184446,0.5372266815104494,0.7371317712229539
EntranceExam,97,0.5713223305842181,0.4889827144191059,0.7125566038977259
EntranceExam,98,0.6230286622069715,0.3942673754760362,0.6396606997748825
EntranceExam,99,0.5763674973894038,0.4847000345976793,0.7010191279283798
HigherEd,0,1.5153806719334115,0.0213596971988012,0.4465091460877458
HigherEd,1,1.9274940841835495,-0.3233847827428993,0.1663565890039856
HigherEd,2,1.499504389955812,0.2583333455314428,0.5188453243441158
HigherEd,3,1.7464794503728012,-0.0463760482094131,0.4256529021961203
HigherEd,4,1.663633071398109,0.0410827824699492,0.533489313154735
HigherEd,5,1.8928205068519208,-0.3999897306718629,0.2686901831831338
HigherEd,6,1.6365359428316977,0.2140815394410096,0.5857283019155399
HigherEd,7,1.8303035861483803,0.1074457243584849,0.47786589428423
HigherEd,8,1.5909455473447198,0.2962481817157678,0.5962930211863773
HigherEd,9,1.6710464740173394,-0.0007816643031619,0.3821590672209313
HigherEd,10,1.623262968204854,0.1098885156561914,0.4981068375590367
HigherEd,11,2.1051967362620454,-0.4901161670273095,0.3952499295085132
HigherEd,12,1.7936983603765726,-0.0667448461606383,0.3826439245298694
HigherEd,13,1.677552402135797,-0.0911617260021075,0.4240633085005345
HigherEd,14,1.19738586007295,0.5212137604075118,0.7789530027811754
HigherEd,15,1.6393283062512871,0.0937285764736354,0.4381723159503894
HigherEd,16,1.88910713315668,0.0178524287147748,0.3361779990081561
HigherEd,17,1.4159331775174262,0.4097981068584361,0.6495205985460691
HigherEd,18,1.9169539653146532,-0.3365842284533185,0.2833045923833739
HigherEd,19,1.5125751207460976,0.4319481497921517,0.7041242212821164
HigherEd,20,1.2194694973594158,0.328338768822868,0.6352723848952635
HigherEd,21,1.7939237097911964,-0.5883354226331439,0.206050836875563
HigherEd,22,2.0041004562458005,-0.3313272883221194,0.3043129461369328
HigherEd,23,1.5762696257800703,-0.1182545367690706,0.355099583567217
HigherEd,24,1.4758446628774886,0.3785845481886013,0.6757634145195675
HigherEd,25,1.6392795438962224,0.1875753903131023,0.5439809532067855
HigherEd,26,1.5791145129323163,0.0981661042286841,0.4782440622569127
HigherEd,27,1.5711636248955714,0.1750476213093444,0.5634237539175585
HigherEd,28,1.6106828051884725,-0.0150972166284857,0.53506205211791
HigherEd,29,1.5732096726705007,0.1796354927316295,0.4825666784528305
HigherEd,30,1.5368591305470736,0.2565917304199501,0.5766243339378777
HigherEd,31,2.103621795635306,-0.3000313506773246,0.2719343516893646
HigherEd,32,2.1515507591819967,-0.2251822545575139,0.2076537684182411
HigherEd,33,1.4840202394706827,0.2477901044026038,0.5719523233167525
